example_id,true_sentence,false_sentence,token_probability_true_sentence,token_probability_false_sentence
94,"Marco Polo's travels to Asia in the 13th century greatly influenced European cartography","Marco Polo's travels to Asia in the 13th century greatly influenced European gastronomy",,
95,"The Bauhaus school, founded by Walter Gropius in 1919, revolutionized modern design and architecture","The Bauhaus school, founded by Walter Gropius in 1919, revolutionized modern design and agriculture",,
96,"Johann Sebastian Bach composed the Brandenburg Concertos between 1711 and 1720 in Germany","Johann Sebastian Bach composed the Brandenburg Concertos between 1711 and 1720 in Austria",,
97,"Nicolaus Copernicus proposed a heliocentric model of the universe in his 1543 work De revolutionibus","Nicolaus Copernicus proposed a heliocentric model of the universe in his 1543 work De astronomicus",,
98,"The Great Pyramid of Giza, built around 2560 BCE, was constructed as a tomb for Pharaoh Khufu","The Great Pyramid of Giza, built around 2560 BCE, was constructed as a tomb for Pharaoh Ramses",,
99,"The Roman Colosseum, completed in 80 AD, could seat approximately 50,000 spectators","The Roman Colosseum, completed in 80 AD, could seat approximately 50,000 soldiers",,
100,"Amelia Earhart became the first female aviator to fly solo across the Atlantic Ocean in 1932","Amelia Earhart became the first female aviator to fly solo across the Atlantic Ocean in 1933",,
101,"The tsunami triggered by the 2004 Indian Ocean earthquake devastated coastal regions of multiple nations","The tsunami triggered by the 2004 Indian Ocean earthquake devastated coastal regions of multiple planets",,
102,"The Library of Alexandria was one of the most significant libraries of the ancient world in Egypt","The Library of Alexandria was one of the most significant libraries of the ancient world in Syria",,
103,"In 1863, the Battle of Gettysburg was fought during the American Civil War in Pennsylvania","In 1863, the Battle of Gettysburg was fought during the American Civil War in California",,
104,"Gregor Mendel, known as the father of modern genetics, conducted experiments on pea plants","Gregor Mendel, known as the father of modern genetics, conducted experiments on corn plants",,
105,"The Enigma machine was used by Nazi Germany to encrypt military communications during World War II","The Enigma machine was used by Nazi Germany to encrypt military communications during World War I",,
106,"Thomas Paine's pamphlet Common Sense, published in 1776, advocated independence from Great Britain","Thomas Paine's pamphlet Common Sense, published in 1776, advocated independence from Great France",,
107,"The French chemist Louis Pasteur developed pasteurization to reduce microbial growth in beverages","The French chemist Louis Pasteur developed pasteurization to reduce microbial growth in textiles",,
108,"The United Nations was established in 1945 to promote international cooperation and maintain peace","The United Nations was established in 1945 to promote international cooperation and maintain forests",,
109,"In 1930, Clyde Tombaugh discovered Pluto at the Lowell Observatory in Flagstaff, Arizona","In 1930, Clyde Tombaugh discovered Pluto at the Lowell Observatory in Fairbanks, Alaska",,
110,"The Battle of Marathon in 490 BCE was a pivotal moment in the Greco-Persian Wars for Athens","The Battle of Marathon in 490 BCE was a pivotal moment in the Greco-Persian Wars for Sparta",,
111,"King Louis XIV of France, known as the Sun King, reigned for 72 years from 1643 to 1715","King Louis XIV of France, known as the Sun King, reigned for 72 years from 1643 to 1725",,
112,"The War of the Spanish Succession began in 1701 and involved a coalition of European powers","The War of the Spanish Succession began in 1701 and involved a coalition of Asian powers",,
113,"James Watt's improvements to the steam engine in the 18th century were fundamental to the Industrial Revolution","James Watt's improvements to the steam engine in the 18th century were fundamental to the Green Revolution",,
114,"The earliest known forms of paper currency originated in China during the Tang era","The earliest known forms of paper currency originated in China during the Ming era",,
115,"The Carthaginian general Hannibal famously crossed the Alps to attack Rome during the Second Punic War","The Carthaginian general Hannibal famously crossed the Alps to attack Rome during the Third Punic War",,
116,"The Galileo spacecraft was launched by NASA in 1989 to study the planet Jupiter and its moons","The Galileo spacecraft was launched by NASA in 1989 to study the planet Jupiter and its rings",,
117,"Montezuma II was the ninth ruler of the Aztec Empire, reigning from 1502 to 1520 in Tenochtitlan","Montezuma II was the ninth ruler of the Aztec Empire, reigning from 1502 to 1520 in Texcoco",,
118,"The Code of Hammurabi, dating to about 1754 BCE, is one of the oldest deciphered writings of significant length","The Code of Hammurabi, dating to about 1754 BCE, is one of the oldest deciphered writings of minimal length",,
119,"Antonio Vivaldi composed The Four Seasons, a group of four violin concertos, in 1723","Antonio Vivaldi composed The Four Seasons, a group of four violin concertos, in 1732",,
120,"Sigmund Freud, an Austrian neurologist, is widely known as the founder of psychoanalysis","Sigmund Freud, an Austrian neurologist, is widely known as the founder of psychotherapy",,
121,"In 1533, Francisco Pizarro executed the Inca ruler Atahualpa in the city of Cajamarca","In 1533, Francisco Pizarro executed the Inca ruler Atahualpa in the city of Cusco",,
122,"The Mesopotamian civilization developed between the Tigris and Euphrates rivers in the Fertile Crescent","The Mesopotamian civilization developed between the Tigris and Euphrates rivers in the Gobi Crescent",,
123,"In 1979, Mother Teresa received the Nobel Peace Prize for her humanitarian work in Calcutta","In 1979, Mother Teresa received the Nobel Peace Prize for her humanitarian work in Mumbai",,
124,"Ferdinand Magellan's expedition of 1519–1522 completed the first recorded circumnavigation of Earth","Ferdinand Magellan's expedition of 1519–1522 completed the first recorded circumnavigation of Mars",,
125,"In 1607, Jamestown became the first permanent English settlement in North America","In 1607, Jamestown became the first permanent English settlement in South America",,
126,"The Great Leap Forward was a campaign led by Mao Zedong in China from 1958 to 1962","The Great Leap Forward was a campaign led by Mao Zedong in China from 1958 to 1972",,
127,"In 1517, Martin Luther nailed his Ninety-five Theses to a church door in Wittenberg, sparking the Reformation","In 1517, Martin Luther nailed his Ninety-five Theses to a church door in Wittenberg, sparking the Revolution",,
128,"The Terracotta Army, buried with China's first Emperor Qin Shi Huang, was discovered in 1974","The Terracotta Army, buried with China's first Emperor Qin Shi Huang, was discovered in 1874",,
129,"During the Renaissance, the Medici family were prominent patrons of the arts in Florence","During the Renaissance, the Medici family were prominent patrons of the arts in Venice",,
130,"Winston Churchill served as Prime Minister of the United Kingdom during World War II","Winston Churchill served as Prime Minister of the United Kingdom during World War I",,
131,"The Korean War began in 1950 when North Korea invaded South Korea, ending with an armistice in 1953","The Korean War began in 1950 when North Korea invaded South Korea, ending with an armistice in 1954",,
132,"The Moai statues on Easter Island were created by the Rapa Nui people between 1250 and 1500","The Moai statues on Easter Island were created by the Rapa Nui people between 1250 and 1600",,
133,"Emmeline Pankhurst was a British political activist who organized the suffragette movement in Britain","Emmeline Pankhurst was a British political activist who organized the suffragette movement in France",,
134,"The printing revolution in Europe was spurred by Johannes Gutenberg's movable-type press around 1450","The printing revolution in Europe was spurred by Johannes Gutenberg's movable-type press around 1460",,
135,"In 1911, Norwegian explorer Roald Amundsen became the first person to reach the South Pole","In 1911, Norwegian explorer Roald Amundsen became the first person to reach the North Pole",,
136,"The Mariinsky Theatre in Saint Petersburg is renowned for its ballet and opera performances","The Mariinsky Theatre in Saint Petersburg is renowned for its ballet and opera sculptures",,
137,"The Battle of Waterloo in 1815 ended the rule of Napoleon Bonaparte as Emperor of the French","The Battle of Waterloo in 1815 ended the rule of Napoleon Bonaparte as Emperor of the Russians",,
138,"The Magna Graecia region refers to the coastal areas of Southern Italy colonized by Greeks","The Magna Graecia region refers to the coastal areas of Southern Italy colonized by Romans",,
139,"The Oxford English Dictionary traces the historical development of vocabulary","The Oxford English Dictionary traces the historical development of grammar",,
140,"Fidel Castro led the Cuban Revolution, overthrowing the dictatorship of Fulgencio Batista in 1959","Fidel Castro led the Cuban Revolution, overthrowing the dictatorship of Fulgencio Batista in 1958",,
141,"The open-heart surgery performed by Christiaan Barnard in 1967 was the first human-to-human heart transplant","The open-heart surgery performed by Christiaan Barnard in 1967 was the first human-to-human brain transplant",,
142,"Carl Linnaeus devised the modern system of binomial nomenclature for classifying organisms in 1735","Carl Linnaeus devised the modern system of binomial nomenclature for classifying organisms in 1745",,
143,"The RMS Lusitania was sunk by a German U-boat in 1915, influencing American public opinion against Germany","The RMS Lusitania was sunk by a German U-boat in 1915, influencing American public opinion against Italy",,
144,"The Spanish painter Pablo Picasso co-founded the Cubist movement and pioneered synthetic cubism","The Spanish painter Pablo Picasso co-founded the Cubist movement and pioneered synthetic symbolism",,
145,"The Apollo 13 mission in 1970 famously suffered an oxygen tank explosion but returned safely to Earth","The Apollo 13 mission in 1970 famously suffered an oxygen tank explosion but returned safely to Mars",,
146,"The Louvre Museum in Paris houses the Mona Lisa, also known as La Gioconda, by Leonardo da Vinci","The Louvre Museum in Paris houses the Mona Lisa, also known as La Gioconda, by Michelangelo Buonarroti",,
147,"In 1990, Nelson Mandela was released from prison after 27 years in custody for opposing apartheid","In 1990, Nelson Mandela was released from prison after 27 years in custody for opposing democracy",,
148,"The Heisenberg uncertainty principle is a fundamental concept in quantum mechanics formulated in 1927","The Heisenberg uncertainty principle is a fundamental concept in quantum mechanics formulated in 1917",,
149,"Michelangelo Buonarroti carved the statue of David from a single block of Carrara","Michelangelo Buonarroti carved the statue of David from a single block of basalt",,
150,"The D-Day landings on June 6, 1944, marked a crucial Allied invasion of Normandy in World War II","The D-Day landings on June 6, 1944, marked a crucial Allied invasion of Normandy in World War I",,
151,"Jonas Salk's polio vaccine was deemed safe and effective in 1955 after large-scale clinical trials","Jonas Salk's polio vaccine was deemed safe and effective in 1955 after small-scale clinical trials",,
152,"The Mars rover Curiosity successfully landed in Gale Crater on August 6, 2012, to explore Martian geology","The Mars rover Curiosity successfully landed in Gale Crater on August 6, 2012, to explore Martian biology",,
153,"The Battle of Agincourt in 1415 was a notable English victory in the Hundred Years' War","The Battle of Agincourt in 1415 was a notable English victory in the Hundred Years' Rebellion",,
154,"Julius Caesar crossed the Rubicon in 49 BCE, precipitating the Roman Civil War","Julius Caesar crossed the Rubicon in 49 BCE, precipitating the Roman Civil Peace",,
155,"The Aztec capital of Tenochtitlan was located on an island in Lake Texcoco in the Valley of Mexico","The Aztec capital of Tenochtitlan was located on an island in Lake Texcoco in the Valley of Guatemala",,
156,"Florence Nightingale, the founder of modern nursing, gained prominence during the Crimean War","Florence Nightingale, the founder of modern nursing, gained prominence during the Napoleonic War",,
157,"The Nebra Sky Disc, discovered in Germany, is considered one of the oldest known astronomical instruments","The Nebra Sky Disc, discovered in Germany, is considered one of the oldest known meteorological instruments",,
158,"Impressionist painter Claude Monet created a famous series of Water Lilies paintings in Giverny","Impressionist painter Claude Monet created a famous series of Water Lilies paintings in Brittany",,
159,"The Venice Biennale, founded in 1895, is a major cultural event hosting international art exhibitions","The Venice Biennale, founded in 1895, is a major cultural event hosting international wine exhibitions",,
160,"Mount Vesuvius famously erupted in 79 AD, burying the cities of Pompeii and Herculaneum under ash","Mount Vesuvius famously erupted in 79 AD, burying the cities of Pompeii and Herculaneum under snow",,
161,"When washing clothes, separating white fabrics from colored garments helps prevent accidental dye transfer","When washing clothes, separating white fabrics from colored garments helps prevent accidental dye dancing",,
162,"Storing bread in a cool, dry place slows down mold growth and keeps the loaf fresh for longer","Storing bread in a cool, dry place slows down mold growth and keeps the loaf glowing for longer",,
163,"Many nutritionists recommend eating a balanced breakfast to stabilize blood sugar levels throughout the morning","Many nutritionists recommend eating a balanced breakfast to stabilize blood sugar levels throughout the evening",,
164,"Using a surge protector can safeguard electronic devices from sudden spikes in electrical voltage","Using a surge protector can safeguard electronic devices from sudden spikes in electrical laughter",,
165,"Regularly replacing your car's engine oil helps maintain overall performance and extend the vehicle's lifespan","Regularly replacing your car's engine oil helps maintain overall performance and extend the vehicle's wheelbase",,
166,"Vacuuming carpets thoroughly can remove dust mites and reduce indoor allergens in the home","Vacuuming carpets thoroughly can remove dust mites and reduce indoor allergens in the driveway",,
167,"Brushing your teeth for two minutes twice a day helps prevent cavities and gum disease","Brushing your teeth for two minutes twice a day helps prevent cavities and sunburn",,
168,"Placing raw meat on the lowest shelf of the refrigerator reduces the risk of cross-contamination in other foods","Placing raw meat on the lowest shelf of the refrigerator reduces the risk of cross-contamination in other rooms",,
169,"Drinking water before meals can help you feel fuller and potentially eat fewer calories","Drinking water before meals can help you feel fuller and potentially eat fewer crayons",,
170,"Opening windows regularly helps circulate fresh air and minimize indoor pollutants like dust and odors","Opening windows regularly helps circulate fresh air and minimize indoor pollutants like dust and dinosaurs",,
171,"Cleaning your computer keyboard regularly can help remove debris and reduce the spread of germs","Cleaning your computer keyboard regularly can help remove debris and reduce the spread of silence",,
172,"Parking your car under shade during hot days can protect the interior from heat damage and fading","Parking your car under shade during hot days can protect the interior from heat damage and singing",,
173,"Applying sunscreen with a high SPF helps protect your skin from harmful ultraviolet radiation","Applying sunscreen with a high SPF helps protect your skin from harmful ultraviolet harmony",,
174,"Refilling reusable water bottles cuts down on plastic waste and can help reduce environmental pollution","Refilling reusable water bottles cuts down on plastic waste and can help reduce environmental illusions",,
175,"Reading for at least thirty minutes a day can improve vocabulary and strengthen cognitive function","Reading for at least thirty minutes a day can improve vocabulary and strengthen cognitive furniture",,
176,"Cooking vegetables with minimal water helps preserve their essential nutrients and natural flavor","Cooking vegetables with minimal water helps preserve their essential nutrients and natural glitter",,
177,"Choosing ergonomic office chairs can support proper posture and reduce lower back strain over time","Choosing ergonomic office chairs can support proper posture and reduce lower back harmony over time",,
178,"Regularly backing up your computer data can prevent the loss of important documents and personal files","Regularly backing up your computer data can prevent the loss of important documents and personal friendships",,
179,"Turning off lights in unoccupied rooms helps lower the electricity bill and conserve environmental resources","Turning off lights in unoccupied rooms helps lower the electricity bill and conserve environmental emotions",,
180,"Switching to LED bulbs can provide bright illumination while using less energy than traditional incandescent lighting","Switching to LED bulbs can provide bright illumination while using less energy than traditional incandescent sculptures",,
181,"Letting cookie dough rest in the refrigerator enhances flavor and texture before baking","Letting cookie dough rest in the refrigerator enhances flavor and texture before singing",,
182,"Keeping houseplants in areas with suitable light and humidity promotes healthy growth and reduces leaf drop","Keeping houseplants in areas with suitable light and humidity promotes healthy growth and reduces leaf dragons",,
183,"Thoroughly washing fresh produce under running water can remove pesticides and surface bacteria","Thoroughly washing fresh produce under running water can remove pesticides and surface balloons",,
184,"Allowing a smartphone battery to drain completely too often can shorten its overall lifespan","Allowing a smartphone battery to drain completely too often can shorten its overall sunshine",,
185,"Storing opened cans of paint in a cool, dry space can preserve quality for future touch-ups","Storing opened cans of paint in a cool, dry space can preserve quality for future take-offs",,
186,"Replacing worn-out windshield wipers helps maintain visibility and improve safety during rainstorms","Replacing worn-out windshield wipers helps maintain visibility and improve safety during vacations",,
187,"Soaking dried beans overnight shortens cooking time and helps achieve a more uniform texture","Soaking dried beans overnight shortens cooking time and helps achieve a more uniform melody",,
188,"Airing out bed linens in direct sunlight can reduce odors and kill certain types of bacteria","Airing out bed linens in direct sunlight can reduce odors and kill certain types of wallpaper",,
189,"Turning the faucet off while brushing teeth can save several gallons of water each day","Turning the faucet off while brushing teeth can save several gallons of water each decade",,
190,"Seasoning a cast-iron skillet regularly helps prevent rust and maintain a nonstick cooking surface","Seasoning a cast-iron skillet regularly helps prevent rust and maintain a nonstick singing surface",,
191,"Organizing cables with ties or clips behind a television can reduce clutter and prevent tangling","Organizing cables with ties or clips behind a television can reduce clutter and prevent laughing",,
192,"Wiping off excess moisture from bathroom surfaces can help prevent the growth of mold and mildew","Wiping off excess moisture from bathroom surfaces can help prevent the growth of mold and mischief",,
193,"Letting soup simmer on low heat allows flavors to blend and deepen over an extended period","Letting soup simmer on low heat allows flavors to blend and deepen over an extended circus",,
194,"Turning perishable leftovers into creative new dishes can help reduce food waste at home","Turning perishable leftovers into creative new dishes can help reduce food waste at airports",,
195,"Labeling boxes clearly when moving to a new home can simplify the unpacking process later","Labeling boxes clearly when moving to a new home can simplify the unpacking process kittens",,
196,"Using a gentle cycle when washing delicate fabrics prevents stretching and protects the garment’s fibers","Using a gentle cycle when washing delicate fabrics prevents stretching and protects the garment’s ankles",,
197,"Regularly pruning dead branches from garden shrubs promotes healthier, more vigorous plant growth","Regularly pruning dead branches from garden shrubs promotes healthier, more vigorous plant furniture",,
198,"Keeping a record of monthly expenses can help create a more accurate household budget and save money","Keeping a record of monthly expenses can help create a more accurate household budget and save noodles",,
199,"Wearing noise-cancelling headphones while studying can improve focus by reducing ambient distractions","Wearing noise-cancelling headphones while studying can improve focus by reducing ambient decorations",,
200,"Adding a pinch of salt to sweet recipes can enhance flavor by balancing bitterness and sweetness","Adding a pinch of salt to sweet recipes can enhance flavor by balancing bitterness and fragrance",,
201,"Rinsing rice before cooking can remove surface starch and yield fluffier grains","Rinsing rice before cooking can remove surface starch and yield fluffier pancakes",,
202,"Allowing an engine to warm up briefly on cold mornings can reduce mechanical stress and engine wear","Allowing an engine to warm up briefly on cold mornings can reduce mechanical stress and engine laughter",,
203,"Stretching before and after exercise can improve flexibility and help prevent muscle injury","Stretching before and after exercise can improve flexibility and help prevent muscle poetry",,
204,"Setting timers on outdoor lights can enhance home security and reduce overall energy consumption","Setting timers on outdoor lights can enhance home security and reduce overall energy confusion",,
205,"Organizing personal documents in categorized folders can simplify tax preparation and recordkeeping","Organizing personal documents in categorized folders can simplify tax preparation and storytelling",,
206,"Reading ingredient labels can help consumers avoid allergens and make more informed food choices","Reading ingredient labels can help consumers avoid allergens and make more informed food invitations",,
207,"Allowing freshly baked bread to cool on a rack prevents excess moisture from making the crust soggy","Allowing freshly baked bread to cool on a rack prevents excess moisture from making the crust dancing",,
208,"Cleaning mirrors with a microfiber cloth and gentle spray avoids streaks and leaves a clear reflection","Cleaning mirrors with a microfiber cloth and gentle spray avoids streaks and leaves a clear rainbow",,
209,"Keeping a fire extinguisher in the kitchen is important for dealing with small grease or electrical fires","Keeping a fire extinguisher in the kitchen is important for dealing with small grease or electrical balloons",,
210,"Turning off unnecessary notifications on a smartphone can help reduce digital distractions throughout the day","Turning off unnecessary notifications on a smartphone can help reduce digital distractions throughout the basement",,
211,"Collecting rainwater in barrels can be an eco-friendly way to water household plants and lawns","Collecting rainwater in barrels can be an eco-friendly way to water household plants and guitars",,
212,"Patching tiny holes in window screens can prevent insects from entering a home during warm months","Patching tiny holes in window screens can prevent insects from entering a home during warm salads",,
213,"Double-checking your car’s tire pressure can prolong tire life and improve fuel efficiency","Double-checking your car’s tire pressure can prolong tire life and improve fuel deodorants",,
214,"Vacuum-sealing foods for freezer storage can lock in freshness and prevent freezer burn over time","Vacuum-sealing foods for freezer storage can lock in freshness and prevent freezer laughter over time",,
215,"Hanging heavier clothes on sturdier hangers can keep closets organized and garments wrinkle-free","Hanging heavier clothes on sturdier hangers can keep closets organized and garments wrinkle-hungry",,
216,"Turning down the thermostat a few degrees in winter can lower heating costs without sacrificing comfort","Turning down the thermostat a few degrees in winter can lower heating costs without sacrificing illusions",,
